 results.L 	 results.D 	 Cl 	 Cd 	 results.sumgamma 	 results.sumu1 	 results.sumum 	 results.sumuw 	 results.meangamma 	 results.meanu1 	 results.meanum 	 results.meanuw 
 results.L 	 results.D 	 Cl 	 Cd 	 results.sumgamma 	 results.sumu1 	 results.sumum 	 results.sumuw 	 results.meangamma 	 results.meanu1 	 results.meanum 	 results.meanuw 
1.000003e-01 	 1.000003e-01 	 1 	 2.379232e+02 	 3.544737e+00 	 8.108662e-01 	 1.208082e-02 	 1.142791e+00 	 -1.501754e+02 	 -2.135042e+01 	 2.827790e-02 	 9.523259e-03 	 1.077748e-01 	 3.085939e-03 	 3.252777e-06 
2.000005e-01 	 2.000005e-01 	 1 	 9.531038e+02 	 1.423197e+01 	 8.120683e-01 	 1.212600e-02 	 2.290025e+00 	 -1.501754e+02 	 -2.135042e+01 	 -1.229990e-02 	 1.908354e-02 	 1.077748e-01 	 3.085939e-03 	 4.164787e-05 
3.000008e-01 	 3.000008e-01 	 1 	 2.150438e+03 	 3.224478e+01 	 8.143231e-01 	 1.221038e-02 	 3.447451e+00 	 -1.501754e+02 	 -2.135042e+01 	 -7.964848e-02 	 2.872876e-02 	 1.077748e-01 	 3.085939e-03 	 1.153013e-04 
4.000010e-01 	 4.000010e-01 	 1 	 3.841084e+03 	 5.800144e+01 	 8.181750e-01 	 1.235467e-02 	 4.624554e+00 	 -1.501754e+02 	 -2.135042e+01 	 -1.704319e-01 	 3.853795e-02 	 1.077748e-01 	 3.085939e-03 	 2.398773e-04 
5.000013e-01 	 5.000013e-01 	 1 	 6.065148e+03 	 9.369399e+01 	 8.268252e-01 	 1.277274e-02 	 5.854515e+00 	 -1.501754e+02 	 -2.135042e+01 	 -4.498433e-01 	 4.878762e-02 	 1.077748e-01 	 3.085939e-03 	 4.862577e-04 
6.000015e-01 	 6.000015e-01 	 1 	 8.887223e+03 	 1.539541e+02 	 8.413485e-01 	 1.457475e-02 	 7.174721e+00 	 -1.501754e+02 	 -2.135042e+01 	 -4.414793e+00 	 5.978934e-02 	 1.077748e-01 	 3.085939e-03 	 1.072266e-03 
7.000018e-01 	 7.000018e-01 	 1 	 1.179057e+04 	 2.560253e+02 	 8.200701e-01 	 1.780734e-02 	 8.200958e+00 	 -1.501754e+02 	 -2.135042e+01 	 -1.991587e+01 	 6.834132e-02 	 1.077748e-01 	 3.085939e-03 	 2.130346e-03 
8.000021e-01 	 8.000021e-01 	 1 	 1.411253e+04 	 3.783754e+02 	 7.515142e-01 	 2.014908e-02 	 8.599212e+00 	 -1.501754e+02 	 -2.135042e+01 	 -4.679359e+01 	 7.166010e-02 	 1.077748e-01 	 3.085939e-03 	 4.088601e-03 
9.000023e-01 	 9.000023e-01 	 1 	 1.610193e+04 	 4.958592e+02 	 6.774935e-01 	 2.086343e-02 	 8.699571e+00 	 -1.501754e+02 	 -2.135042e+01 	 -7.652898e+01 	 7.249642e-02 	 1.077748e-01 	 3.085939e-03 	 6.599040e-03 
1.000003e+00 	 1.000003e+00 	 1 	 1.820003e+04 	 6.064246e+02 	 6.202753e-01 	 2.066756e-02 	 8.821663e+00 	 -1.501754e+02 	 -2.135042e+01 	 -1.024054e+02 	 7.351386e-02 	 1.077748e-01 	 3.085939e-03 	 9.242092e-03 
1.200003e+00 	 1.200003e+00 	 1 	 2.360146e+04 	 8.285315e+02 	 5.585844e-01 	 1.960916e-02 	 9.442053e+00 	 -1.501754e+02 	 -2.135042e+01 	 -1.324621e+02 	 7.868378e-02 	 1.077748e-01 	 3.085939e-03 	 1.287279e-02 
1.400004e+00 	 1.400004e+00 	 1 	 3.099308e+04 	 1.082147e+03 	 5.389160e-01 	 1.881666e-02 	 1.055750e+01 	 -1.501754e+02 	 -2.135042e+01 	 -1.424226e+02 	 8.797913e-02 	 1.077748e-01 	 3.085939e-03 	 1.394028e-02 
1.600004e+00 	 1.600004e+00 	 1 	 4.050128e+04 	 1.379368e+03 	 5.391892e-01 	 1.836337e-02 	 1.202725e+01 	 -1.501754e+02 	 -2.135042e+01 	 -1.384853e+02 	 1.002270e-01 	 1.077748e-01 	 3.085939e-03 	 1.575821e-02 
1.800005e+00 	 1.800005e+00 	 1 	 5.263062e+04 	 1.742870e+03 	 5.536125e-01 	 1.833295e-02 	 1.381530e+01 	 -1.501754e+02 	 -2.135042e+01 	 -1.275438e+02 	 1.151275e-01 	 1.077748e-01 	 3.085939e-03 	 1.402512e-02 
2.000005e+00 	 2.000005e+00 	 1 	 6.628700e+04 	 2.115907e+03 	 5.647818e-01 	 1.802806e-02 	 1.561975e+01 	 -1.501754e+02 	 -2.135042e+01 	 -1.165341e+02 	 1.301645e-01 	 1.077748e-01 	 3.085939e-03 	 1.301320e-02 
3.000008e+00 	 3.000008e+00 	 1 	 1.643660e+05 	 4.581651e+03 	 6.224177e-01 	 1.734969e-02 	 2.567631e+01 	 -1.501754e+02 	 -2.135042e+01 	 -7.855511e+01 	 2.139693e-01 	 1.077748e-01 	 3.085939e-03 	 1.146292e-02 
4.000010e+00 	 4.000010e+00 	 1 	 3.052929e+05 	 7.882652e+03 	 6.502930e-01 	 1.679054e-02 	 3.572584e+01 	 -1.501754e+02 	 -2.135042e+01 	 -6.334154e+01 	 2.977154e-01 	 1.077748e-01 	 3.085939e-03 	 1.036981e-02 
